0,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數名稱（英文）,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,登出帳號_確定登出_點擊,Logout_ConfirmLogout_clicked,,,,,,,TRUE,TRUE
,,,,,登出帳號_返回_點擊,Logout_Return_clicked,,,,,,,TRUE,TRUE
,,刪除帳號,,,帳號管理_刪除帳號_點擊,AccountManagement_DeleteAccount_clicked,,,,,,,TRUE,FALSE
,,,,,刪除帳號_確定刪除_點擊,DeleteAccount_ConfirmDelete_clicked,,,,,,,TRUE,FALSE
,,,,,刪除帳號_返回_點擊,DeleteAccount_Return_clicked,,,,,,,TRUE,FALSE
,,服務條款,,,會員頁_服務條款_點擊,MemberPage_TermsOfService_clicked,,,,,,,TRUE,TRUE
,,隱私權政策,,,會員頁_隱私權政策_點擊,MemberPage_PrivacyPolicy_clicked,,,,,,,TRUE,TRUE
,,著作權政策,,,會員頁_著作權政策_點擊,MemberPage_CopyrightPolicy_clicked,,,,,,,TRUE,TRUE
,,意見回饋,,,會員頁_意見回饋_點擊,MemberPage_Feedback_clicked,,,,,,,TRUE,TRUE
觀看會員中心頁面,,,觀看會員頁下子頁面,頁面出現算一次,會員頁_觀看,MemberPage_viewed,,,,,觀看會員頁下子頁面,,TRUE,TRUE
,,未登入頁彈窗,,,會員頁.未登入頁_觀看,NotLoggedInPage_viewed,,,,,,,TRUE,TRUE
,,頭像與暱稱,,,會員頁.頭像與暱稱_觀看,MemberPage.AvatarAndNickname_viewed,,,,,,,TRUE,TRUE
,,帳號管理,,,會員頁.帳號管理_觀看,MemberPage.AccountManagement_viewed,,,,,,,TRUE,TRUE
頻道內聊天/貼文區,貼文區,貼文,點擊貼文區按鈕,用戶點擊按鈕算一次,貼文_顯示更多_點擊,Post_ShowMore_clicked,from,任一篇貼文的「顯示更多」鍵,Post,,點擊貼文區按鈕,,FALSE,FALSE
,,,,,,,,任一篇留言的「顯示更多」鍵,Comment,,,,FALSE,FALSE
,,,,,貼文_圖片_點擊,Post_Image_clicked,from,在貼文外層點擊圖片,PostList,PostList,,,TRUE,FALSE
,,,,,,,,在貼文內層點擊圖片,InnerLayer,InnerLayer,,,TRUE,FALSE
,,,,,,,,在貼文內層留言區點擊圖片,Comment,,,,TRUE,FALSE
,,,,,貼文_進入內層_點擊,Post_EnterInnerLayer_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_發表貼文_點擊,Post_PublishPost_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_編輯貼文_點擊,Post_EditPost_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_置頂貼文_點擊,Post_PinPost_clicked,from,自己的貼文,Poster,,,,TRUE,FALSE
,,,,,,,,別人的貼文,OthersPost,,,,TRUE,FALSE
,,,,,貼文.置頂貼文_確定置頂_點擊,Post.PinPost_ConfirmPin_clicked,,,,,,,TRUE,FALSE
,,,,,貼文.置頂貼文_取消_點擊,Post.PinPost_Cancel_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_取消置頂貼文_點擊,Post_UnpinPost_clicked,from,,,,,,TRUE,FALSE
,,,,,,,,,,,,,TRUE,FALSE
,,,,,貼文.取消置頂貼文_確定取消_點擊,Post.UnpinPost_ConfirmUnpin_clicked,,,,,,,TRUE,FALSE
,,,,,貼文.取消置頂貼文_返回_點擊,Post.UnpinPost_Return_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_檢舉貼文_點擊,Post_ReportPost_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_刪除貼文_點擊,Post_DeletePost_clicked,from,自己的貼文,Poster,,,,TRUE,FALSE
,,,,,,,,別人的貼文,OthersPost,,,,TRUE,FALSE
,,,,,貼文.刪除貼文_確定刪除_點擊,Post.DeletePost_ConfirmDelete_clicked,,,,,,,TRUE,FALSE
,,,,,貼文.刪除貼文_取消_點擊,Post.DeletePost_Cancel_clicked,,,,,,,TRUE,FALSE
,,,回覆貼文下方已存在的留言,,留言_回覆_點擊,Comment_Reply_clicked,,,,,,,TRUE,FALSE
,,,,,留言_插入圖片_點擊,Comment_InsertImage_clicked,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,TRUE,FALSE
,,,送出留言,,留言_傳送鍵_點擊,Comment_SendButton_clicked,,,,,,,TRUE,FALSE
,,,處理新留言,,留言_編輯留言_點擊,Comment_EditComment_clicked,,,,,,,TRUE,FALSE
,,,,,留言_檢舉留言_點擊,Comment_ReportComment_clicked,,,,,,,TRUE,FALSE
,,,,,留言_刪除留言_點擊,Comment_DeleteComment_clicked,from,自己的留言,Poster,,,,TRUE,FALSE
,,,,,,,,別人的留言,OthersPost,,,,TRUE,FALSE
,,,處理回覆,,留言_編輯回覆_點擊,Comment_EditReply_clicked,,,,,,,TRUE,FALSE
,,,,,留言_檢舉回覆_點擊,Comment_ReportReply_clicked,,,,,,,TRUE,FALSE
,,,,,留言_刪除回覆_點擊,Comment_DeleteReply_clicked,from,自己的回覆,Poster,,,,TRUE,FALSE
,,,,,,,,別人的回覆,OthersPost,,,,TRUE,FALSE
,,,,,貼文_選取照片_點擊,Post_SelectPhoto_clicked,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,TRUE,FALSE
,,,,,貼文_發布_點擊,Post_Publish_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_捨棄_點擊,Post_Discard_clicked,,,,,,,TRUE,FALSE
,,,,,貼文_繼續編輯_點擊,Post_ContinueEditing_clicked,,,,,,,TRUE,FALSE
,,,,,貼文.空白貼文_修改_點擊,Post.BlankPost_Edit_clicked,,,,,,,TRUE,FALSE
,,頁面觀看,觀看貼文區頁面,頁面出現算一次,貼文牆,PostWall_Viewed,,,,,,,TRUE,TRUE
,,,,,貼文.內頁_觀看,Post.InnerPage_Viewed,,,,,,,TRUE,TRUE
,,,,,發表貼文_觀看,PublishPost_Viewed,, ,,,,,TRUE,TRUE
,,,,,編輯貼文_觀看,EditPost_Viewed,,,,,,,TRUE,TRUE
,,,,,貼文.圖片_觀看,Post.Image_Viewed,,,,,,,TRUE,TRUE
,,,,,訊息_插入圖片_點擊,Message_InsertImage_clicked,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,TRUE,FALSE
,,,,,訊息_圖片_點擊,Message_Image_clicked,,,,,,,TRUE,FALSE
,,,,,訊息_傳送鍵_點擊,Message_SendButton_clicked,,,,,,,TRUE,FALSE
,,常壓訊息按鈕 & 衍伸彈窗,長壓訊息,,訊息_常壓訊息_點擊,Message_LongPressMessage_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_表情符號_點擊,Message.LongPressMessage_Emoji_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_回覆_點擊,Message.LongPressMessage_Reply_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_複製訊息_點擊,Message.LongPressMessage_CopyMessage_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_置頂訊息_點擊,Message.LongPressMessage_PinMessage_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_檢舉_點擊,Message.LongPressMessage_Report_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_刪除訊息_點擊,Message.LongPressMessage_DeleteMessage_clicked,,,,,,,TRUE,FALSE
,,,,,訊息.常壓訊息_收回訊息_點擊,Message.LongPressMessage_UnsendMessage_clicked,,,,,,,TRUE,FALSE
,,,,,檢舉_確定檢舉_點擊,Report_ConfirmReport_clicked,,,,,,,TRUE,FALSE
,,,,,檢舉_取消_點擊,Report_Cancel_clicked,,,,,,,TRUE,FALSE
,,,,,檢舉原因_原因_點擊,ReportReason_Reason_clicked,from,濫發廣告訊息,Spam,,,,TRUE,FALSE
,,,,,,,,傳送色情訊息,SexualContent,,,,TRUE,FALSE
,,,,,,,,騷擾行為,Harassment,,,,TRUE,FALSE
,,,,,,,,內容與主題無關,UnrelatedContent,,,,TRUE,FALSE
,,,,,,,,其他,Other,,,,TRUE,FALSE
,,,,,檢舉原因_取消檢舉_點擊,ReportReason_CancelReport_clicked,,,,,,,TRUE,FALSE
,,,,,刪除訊息_確定刪除_點擊,DeleteMessage_ConfirmDelete_clicked,,,,,,,TRUE,FALSE
,,,,,刪除訊息_取消_點擊,DeleteMessage_Cancel_clicked,,,,,,,TRUE,FALSE
,,訊息傳送失敗,訊息傳送失敗,,訊息_重試_點擊,Message_Retry_clicked,,,,,,,TRUE,FALSE
