用戶行為,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,貼文.取消置頂貼文_返回_點擊,Post.UnpinPost_Return_clicked,,,,,,FALSE,FALSE
,,,,,貼文_檢舉貼文_點擊,Post_ReportPost_clicked,,,,,,FALSE,FALSE
,,,,,貼文_刪除貼文_點擊,Post_DeletePost_clicked,from,自己的貼文,,,,FALSE,FALSE
,,,,,,,,別人的貼文,,,,FALSE,FALSE
,,,,,貼文.刪除貼文_確定刪除_點擊,Post.DeletePost_ConfirmDelete_clicked,,,,,,FALSE,FALSE
,,,,,貼文.刪除貼文_取消_點擊,Post.DeletePost_Cancel_clicked,,,,,,FALSE,FALSE
,,留言,在貼文下方新增留言,,留言_開啟鍵盤_點擊,Comment_OpenKeyboard_clicked,,,,,,FALSE,FALSE
,,,回覆貼文下方已存在的留言,,留言_回覆_點擊,Comment_Reply_clicked,,,,,,FALSE,FALSE
,,,,,留言_插入圖片_點擊,Comment_InsertImage_clicked,from,新留言,,,,FALSE,FALSE
,,,送出留言,,留言_傳送鍵_點擊,Comment_SendButton_clicked,,回覆現有留言,,,,FALSE,FALSE
,,,處理新留言,,留言_編輯留言_點擊,Comment_EditComment_clicked,,,,,,FALSE,FALSE
,,,,,留言_檢舉留言_點擊,Comment_ReportComment_clicked,,,,,,FALSE,FALSE
,,,,,留言_刪除留言_點擊,Comment_DeleteComment_clicked,from,自己的留言,,,,FALSE,FALSE
,,,,,,,,別人的留言,,,,FALSE,FALSE
,,,處理回覆,,留言_編輯回覆_點擊,Comment_EditReply_clicked,,,,,,FALSE,FALSE
,,,,,留言_檢舉回覆_點擊,Comment_ReportReply_clicked,,,,,,FALSE,FALSE
,,,,,留言_刪除回覆_點擊,Comment_DeleteReply_clicked,from,自己的回覆,,,,FALSE,FALSE
,,,,,,,,別人的回覆,,,,FALSE,FALSE
,,新增、編輯貼文,新增（發表）or編輯->貼文區貼文,,貼文_開啟鍵盤_點擊,Post_OpenKeyboard_clicked,,,,,,FALSE,FALSE
,,,,,貼文_選取照片_點擊,Post_SelectPhoto_clicked,,,,,,FALSE,FALSE
,,,,,貼文.選取照片_打開相機_點擊,Post.SelectPhoto_OpenCamera_clicked,,,,,,FALSE,FALSE
,,,,,貼文.選取照片_從相簿選取_點擊,Post.SelectPhoto_SelectFromAlbum_clicked,,,,,,FALSE,FALSE
,,,,,貼文.選取照片_返回_點擊,Post.SelectPhoto_Return_clicked,,,,,,FALSE,FALSE
,,,,,貼文_發布_點擊,Post_Publish_clicked,,,,,,FALSE,FALSE
,,,,,貼文_捨棄_點擊,Post_Discard_clicked,,,,,,FALSE,FALSE
,,,,,貼文_繼續編輯_點擊,Post_ContinueEditing_clicked,,,,,,FALSE,FALSE
